2025-09-25 17:14:41,725 p=7132 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
2025-09-25 17:22:10,509 p=13787 u=root n=ansible | test-worker1               : ok=16   changed=7    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-09-25 17:22:10,509 p=13787 u=root n=ansible | test-worker2               : ok=16   changed=7    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-09-25 17:31:41,923 p=21549 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults keyword is a more generic version and can apply to all calls to the 
M(ansible.builtin.gather_facts) or M(ansible.builtin.setup) actions, use module_defaults instead. This feature will be removed from ansible-core in version 
2.18. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2025-09-25 17:31:42,179 p=21549 u=root n=ansible | PLAY [Bootstrap common prerequisites] ************************************************************************************************************************
2025-09-25 17:31:42,200 p=21549 u=root n=ansible | TASK [Gathering Facts] ***************************************************************************************************************************************
2025-09-25 17:32:01,589 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:32:01,632 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:32:01,657 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:32:01,733 p=21549 u=root n=ansible | TASK [common : Remove old Docker packages] *******************************************************************************************************************
2025-09-25 17:32:04,565 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:32:04,573 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:32:05,928 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:32:05,976 p=21549 u=root n=ansible | TASK [common : Remove old Docker repo if exists] *************************************************************************************************************
2025-09-25 17:32:08,108 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:32:08,118 p=21549 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:32:08,143 p=21549 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:32:08,164 p=21549 u=root n=ansible | TASK [common : Clean dnf cache] ******************************************************************************************************************************
2025-09-25 17:32:10,944 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:32:10,981 p=21549 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:32:10,993 p=21549 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:32:11,008 p=21549 u=root n=ansible | TASK [common : Ensure python3 installed] *********************************************************************************************************************
2025-09-25 17:32:11,317 p=21549 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:32:11,321 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:32:11,379 p=21549 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:32:11,414 p=21549 u=root n=ansible | TASK [common : Ensure /usr/bin/python symlink points to python3] *********************************************************************************************
2025-09-25 17:32:11,706 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:32:11,714 p=21549 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:32:11,771 p=21549 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:32:11,790 p=21549 u=root n=ansible | TASK [common : Install prerequisites] ************************************************************************************************************************
2025-09-25 17:32:25,739 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:32:26,132 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:32:50,265 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:32:50,327 p=21549 u=root n=ansible | TASK [common : Add Docker CE repo (CentOS 9 Stream)] *********************************************************************************************************
2025-09-25 17:32:52,976 p=21549 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:32:53,020 p=21549 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:32:53,289 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:32:53,315 p=21549 u=root n=ansible | TASK [common : Install Docker packages] **********************************************************************************************************************
